% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.096	1	1	110	7	1	22	2769	22	2769	0
1.097	1	1	110	8	1	22	2769	22	2769	0
1.097	1	1	110	8	1	22	2769	22	2769	0
1.097	1	1	110	8	1	22	2769	22	2769	0
1.098	1	1	110	9	1	22	2769	22	2769	0
1.098	1	1	110	9	1	22	2769	22	2769	0
1.098	1	1	110	9	1	22	2769	22	2769	0
1.099	1	1	110	10	1	22	2769	22	2769	0
1.099	1	1	110	10	1	22	2769	22	2769	0
1.099	1	1	110	10	1	22	2769	22	2769	0
1.1	1	1	111	1	1	22	2769	22	2769	0
1.1	1	1	111	1	1	22	2769	22	2769	0
1.1	1	1	111	1	1	22	2769	22	2769	0
1.101	1	1	111	2	1	22	2769	22	2769	0
1.101	1	1	111	2	1	22	2769	22	2769	0
1.101	1	1	111	2	1	22	2769	22	2769	0
1.102	1	1	111	3	1	22	2769	22	2769	0
1.102	1	1	111	3	1	22	2769	22	2769	0
1.102	1	1	111	3	1	22	2769	22	2769	0
1.103	1	1	111	4	1	22	2769	22	2769	0
1.103	1	1	111	4	1	22	2769	22	2769	0
1.103	1	1	111	4	1	22	2769	22	2769	0
1.104	1	1	111	5	1	22	2769	22	2769	0
1.104	1	1	111	5	1	22	2769	22	2769	0
1.104	1	1	111	5	1	22	2769	22	2769	0
1.105	1	1	111	6	1	22	2769	22	2769	0
1.105	1	1	111	6	1	22	2769	22	2769	0
1.105	1	1	111	6	1	22	2769	22	2769	0
1.106	1	1	111	7	1	22	2769	22	2769	0
1.106	1	1	111	7	1	22	2769	22	2769	0
1.106	1	1	111	7	1	22	2769	22	2769	0
1.107	1	1	111	8	1	22	2769	22	2769	0
1.107	1	1	111	8	1	22	2769	22	2769	0
1.107	1	1	111	8	1	22	2769	22	2769	0
1.108	1	1	111	9	1	22	2769	22	2769	0
1.108	1	1	111	9	1	22	2769	22	2769	0
1.108	1	1	111	9	1	22	2769	22	2769	0
1.109	1	1	111	10	1	22	2769	22	2769	0
1.109	1	1	111	10	1	22	2769	22	2769	0
1.109	1	1	111	10	1	22	2769	22	2769	0
1.11	1	1	112	1	1	22	2769	22	2769	0
1.11	1	1	112	1	1	22	2769	22	2769	0
1.11	1	1	112	1	1	22	2769	22	2769	0
1.111	1	1	112	2	1	22	2769	22	2769	0
1.111	1	1	112	2	1	22	2769	22	2769	0
1.111	1	1	112	2	1	22	2769	22	2769	0
1.112	1	1	112	3	1	22	2769	22	2769	0
1.112	1	1	112	3	1	22	2769	22	2769	0
1.112	1	1	112	3	1	22	2769	22	2769	0
1.113	1	1	112	4	1	22	2769	22	2769	0
1.113	1	1	112	4	1	22	2769	22	2769	0
1.113	1	1	112	4	1	22	2769	22	2769	0
1.114	1	1	112	5	1	22	2769	22	2769	0
1.114	1	1	112	5	1	22	2769	22	2769	0
1.114	1	1	112	5	1	22	2769	22	2769	0
1.115	1	1	112	6	1	22	2769	22	2769	0
1.115	1	1	112	6	1	22	2769	22	2769	0
1.115	1	1	112	6	1	22	2769	22	2769	0
1.116	1	1	112	7	1	22	2769	22	2769	0
1.116	1	1	112	7	1	22	2769	22	2769	0
1.116	1	1	112	7	1	22	2769	22	2769	0
1.117	1	1	112	8	1	22	2769	22	2769	0
1.117	1	1	112	8	1	22	2769	22	2769	0
1.117	1	1	112	8	1	22	2769	22	2769	0
1.118	1	1	112	9	1	22	2769	22	2769	0
1.118	1	1	112	9	1	22	2769	22	2769	0
1.118	1	1	112	9	1	22	2769	22	2769	0
1.119	1	1	112	10	1	22	2769	22	2769	0
1.119	1	1	112	10	1	22	2769	22	2769	0
1.119	1	1	112	10	1	22	2769	22	2769	0
1.12	1	1	113	1	1	22	2769	22	2769	0
1.12	1	1	113	1	1	22	2769	22	2769	0
1.12	1	1	113	1	1	22	2769	22	2769	0
1.121	1	1	113	2	1	22	2769	22	2769	0
1.121	1	1	113	2	1	22	2769	22	2769	0
1.121	1	1	113	2	1	22	2769	22	2769	0
1.122	1	1	113	3	1	22	2769	22	2769	0
1.122	1	1	113	3	1	22	2769	22	2769	0
1.122	1	1	113	3	1	22	2769	22	2769	0
1.123	1	1	113	4	1	22	2769	22	2769	0
1.123	1	1	113	4	1	22	2769	22	2769	0
1.123	1	1	113	4	1	22	2769	22	2769	0
1.124	1	1	113	5	1	22	2769	22	2769	0
1.124	1	1	113	5	1	22	2769	22	2769	0
1.124	1	1	113	5	1	22	2769	22	2769	0
1.125	1	1	113	6	1	22	2769	22	2769	0
1.125	1	1	113	6	1	22	2769	22	2769	0
1.125	1	1	113	6	1	22	2769	22	2769	0
1.126	1	1	113	7	1	22	2769	22	2769	0
1.126	1	1	113	7	1	22	2769	22	2769	0
1.126	1	1	113	7	1	22	2769	22	2769	0
1.127	1	1	113	8	1	22	2769	22	2769	0
1.127	1	1	113	8	1	22	2769	22	2769	0
1.127	1	1	113	8	1	22	2769	22	2769	0
